Description,Actions,Objects
cook the noodles and rinse in cold water to let cool,"cook, cool, let","cold water, noodles, rinse"
layer beginning with sauce then noodles then cheese mixture repeat until out of ingredients,"begin, noodle, repeat","cheese, cheese mixture, ingredients, layer, sauce"
top with the parmesan cheese,,"parmesan cheese, top"
bake at 350 for 1 hour,,hour
"put the butter , sugar , and syrup in a saucepan , and stir ir over a medium heat until the butter has melted","melt, put, stir, syrup","butter, medium heat, saucepan, sugar"
"put the melted mixture into a mixing bowl , and add the porridge oats and any optional ingredients you want to add","add, melt, mix, put, want","melted mixture, mixing bowl, optional ingredients, porridge, porridge oats"
"put the mixture in a papered tin , flattening the mixture with the back of a spoon","flatten, paper, put","back, mixture, papered tin, spoon"
"bake the flapjack in the oven at about 180c for around 30 minutes , or until the flapjack has browned","bake, brown","flapjack, minutes, oven"
"once you take the flapjack out , you should cut it before it cools completely because it will harden","cool, cut, harden, take",flapjack
"if youre impatient , eat some warm but flapjack is just as delicious chilled","chill, eat, re",flapjack
"if youre a chocaholic , i would recommend that when the flapjack has cooled completely , you melt a black of chocolate and pour it over , and wait for it to set","cool, melt, pour, re, recommend, set, wait","black, chocaholic, chocolate, flapjack"
preheat oven to 350 degrees,preheat,degrees
"add sugar , flour , and cube of butter into small mixing bowl",add,"butter, cube, flour, mixing, small mixing bowl, sugar"
cut butter into sugar / flour mixture with pastery cutter,cut,"butter, flour, flour mixture, pastery, pastery cutter, sugar"
spray bundt pan with pam cooking spray,,"cooking spray, pam, pam cooking"
put butter / flour / sugar mixture into bottom of bundt pan evenly,put,"bottom, butter, flour, sugar, sugar mixture"
in a seperate large mixing bowl add bananas and mash,add,"bananas, mash, mixing, seperate large mixing bowl"
"using mixer , blend for approximately 1 minute",use,"blend, minute, mixer"
pour cake mixture into bundt pan on top of first layer,,"cake, first layer, pour, pour cake mixture, top"
follow the baking directions on the box of cake mix,"bake, follow","baking directions, cake, cake mix"
check for doneness with a toothpick,check,"doneness, toothpick"
remove cake from oven after tooth pick comes out clean,"come, remove","cake, tooth, tooth pick"
let cake stand for 10 to 15 minutes,"let, stand","cake, minutes"
place cake plate on bottom of bundt pan and carefully flip over,flip,"bottom, place cake plate"
let cool and enjoy !,"cool, enjoy, let",
chop veggies / herbs coarsely and then fry in 1 t butter or oil,fry,"herbs, oil, t, t butter, veggies"
"add rice and stir to coat and then add broth , salt and lime juice","add, coat, stir","broth, lime, lime juice, rice, salt"
"bring to rapid boil , turn down as low as possible , cover and simmer about 20 minutes - do not stir ! fluff with fork","bring, cover, simmer, stir, turn","fluff, fork, minutes, rapid boil"
put all ingredients in the blender and blend well,"blend, put","blender, ingredients"
"if you like it a little more mild , use less cayenne pepper and less of the jalepeno seeds","like, use","cayenne, jalepeno, jalepeno seeds, less cayenne pepper"
i usually only use 5-6 seeds & a tiny piece of the core,use,"core, seeds, tiny piece"
my mom uses the whole pepper seeds and all,use,"mom, pepper, whole pepper seeds"
"""cooking"" time does not include chilling time - chill in fridge for at least 2 hours to let the flavors meld","chill, include, let, meld","chilling time chill, cooking, cooking time, flavors, fridge, hours, time"
microwave cream cheese for 1 minute or until soft,,"cream cheese, microwave, microwave cream, minute"
"stir in sour cream , milk , mayonaise and worcestershire sauce",stir,"mayonaise, milk, sauce, sour cream, worcestershire"
"add kielbasa , onion and parmesan cheese",add,"cheese, onion, parmesan"
put in crock pot on low,put,"crock, crock pot"
"serve with crackers , vegetables or rye bread",serve,"crackers, rye, rye bread, vegetables"
cook pasta to desired doneness as directed on package,"cook, desire, direct","desired doneness, package, pasta"
"in large bowl , combine cooked pasta and all remaining","combine, cook, remain","cooked pasta, large bowl"
"serve immediately , or cover and refrigerate until","cover, refrigerate, serve",
peel and crush about a thumb sized amount of fresh ginger,"crush, peel","fresh ginger, sized amount, thumb"
add all ingredients to pot of water except milk,add,"ingredients, milk, pot, water"
boil for 30 mins or until spices permeate tea,"boil, permeate","mins, spices, tea"
add milk to each serving cup to taste,"add, serve, taste","milk, serving cup"
preheat an oven to 400f,preheat,oven
"in a large saucepan over medium heat , melt the butter",melt,"butter, large saucepan, medium heat"
"add the flour and cook , stirring constantly , until the mixture smells fragrant and nutty , 1 to 2 minutes","add, smell, stir","cook, flour, minutes, mixture"
"slowly add the broth , whisking until smooth , and bring to a boil","add, bring, whisk","boil, broth"
"add the thyme , bay leaf , shallot , celery , carrots , mushroom , peas , potatoes , and chicken",add,"bay, bay leaf, carrots, celery, chicken, mushroom, peas, potatoes, shallot, thyme"
"simmer , covered until the potatoes are tender , 10-15 minutes",cover,"potatoes, tender minutes"
thicken with cornstarch if necessary,thicken,cornstarch
remove bay leaf and discard,remove,"bay, bay leaf"
remove from heat and let cool for 5 minutes,"let, remove","heat, minutes"
divide the filling among 4 ovenproof ramekins and place on a baking sheet,divide,"baking, baking sheet, filling, ovenproof ramekins, place"
brush the puff pastry squares with the egg mixture,brush,"egg, egg mixture, pastry, puff, puff pastry squares"
brush the rims of the bowls with water,brush,"bowls, rims, water"
"place 1 pastry square on top of each bowl , pressing lightly on the edges",press,"bowl, edges, pastry, pastry square, place, top"
"bake until the pastry is puffed and golden brown , about 15-20 minutes",puff,"golden brown, minutes, pastry"
let rest for 5-10 minutes before serving,"let, serve","minutes, rest"
combine all ingredients in a small jar & shake well,"combine, shake","ingredients, small jar"
cut each cheese stick in half crosswise,"cut, stick","cheese, half, half crosswise"
combine flour and cornstarch in a shallow dish,combine,"cornstarch, flour, shallow dish"
beat egg whites with water in another shallow dish until well mixed,beat,"egg, egg whites, shallow dish, water"
"combine bread crumbs , oregano and salt in a third shallow dish",combine,"bread, bread crumbs, oregano, salt, third shallow dish"
coat cheese with flour mixture,,"coat cheese, flour, flour mixture"
"dip into egg white mixture , being sure to coat thoroughly , including ends","coat, include","dip, egg, ends, white mixture"
coat with bread crumb mixture,,"bread, bread crumb mixture, coat, crumb"
"dip into egg whites and bread crumbs a second time , being sure ends are coated",coat,"bread, bread crumbs, dip, egg, egg whites, second time, sure ends"
place on ungreased baking sheet,,"baking, place, ungreased baking sheet"
freeze at least 1 hour,freeze,hour
preheat oven to 400-degrees f,preheat,"degrees, f"
drizzle cheese sticks with melted butter,melt,"cheese sticks, drizzle, drizzle cheese, melted butter"
"bake until crumbs juswt begin to brown , 5-7 minutes","begin, brown","crumbs, minutes"
serve warm with marinara sauce,serve,"marinara, marinara sauce"
peel and shred or finely chop carrot,"chop, peel, shre",carrot
use a mini-food chopper or food processor to speed the process,"speed, use","-, chopper, food, mini, mini - food processor, process"
preheat oven to 400 degrees,preheat,degrees
mix dry ingredients in a large bowl,mix,"dry ingredients, large bowl"
"add apple , carrot and other wet ingredients",add,"apple, carrot, other wet ingredients"
mix well ! batter will be quite thick,mix,batter
grease muffin pan or muffin cups,,"grease muffin pan, muffin, muffin cups"
bake for about 20-22 minutes or until muffins are golden brown on the top and a toothpick inserted into one comes out clean,"come, insert","bake, golden brown, minutes, muffins, toothpick, top"
"serve warm with butter , margarine or jam",serve,"butter, jam, margarine"
combine first 6 ingredients in a large punch bowl or a large stock pot,combine,"ingredients, large punch bowl, large stock pot, punch, stock"
"add 1 / 2 to a to punch bowl filled with lots of ice add 1 / 2 of the orange slices , ginger ale and rum","add, fill, punch","bowl, ginger, ginger ale, ice, lots, orange, orange slices, rum"
"to serve garnish each glass with cherry , and a cinnamon stick pour in punch","garnish, serve","cherry, cinnamon stick pour, glass, punch, stick"
drink and be happy !,drink,
i`ve also froze all the ingredients combined except for cinnamon stick with good results,"combine, freeze","good results, ingredients"
mix cornstarch with 1 / 4 cup of the pineapple juice,mix,"cornstarch, cup, pineapple, pineapple juice"
bring remaining pineapple juice and honey to a boil,"bring, remain","boil, honey, pineapple, remaining pineapple juice"
stir in cornstarch mixture until thick,stir,"cornstarch, cornstarch mixture"
"reduce heat , add lemon juice and rind","add, reduce","heat, lemon, lemon juice, rind"
"boil for about one minute , stirring constantly","boil, stir",minute
"chill , when chilled , combine with part of the cool whip and pour into crust","chill, combine, pour","chill, cool whip, crust, part"
put remainder of cool whip on top of filling,"fill, put","cool whip, remainder, top"
start by toasting your pine nuts,"start, toast","pine, pine nuts"
use a dry skillett and put pine nuts on over low heat,"put, use","dry skillett, low heat, pine nuts"
do not move away from the pan because they can burn easily,"burn, move",pan
keep moving them around until they are golden and their aroma becomes strong,"become, keep, move",aroma
remove from heat and set aside,"remove, set",heat
"in a blender or bowl of food proccesor combine basil , garlic , vinegar , parsley , and lemon juice",combine,"basil, blender, bowl, food, food proccesor, garlic, lemon, lemon juice, parsley, vinegar"
with the machine running slowly add olive oil until thick,"add, run","machine, olive oil"
add tomatoes and blend 5 seconds,"add, blend","seconds, tomatoes"
place sauce in a large bowl and set aside,set,"large bowl, place, place sauce"
"cook pasta according to directions on package , drain","accord, cook, drain","directions, package, pasta"
put back in hot pot and add a tablespoon of butter,"add, put","butter, hot pot, tablespoon"
sprinkle pine nuts on top,sprinkle,"pine nuts, top"
serve hot or at room temperature,serve,"room, room temperature"
"using a double boiler , melt chocolate chips and shortening together","melt, use","chocolate, chocolate chips, double boiler, shortening"
stir until smooth then remove from heat,"remove, stir",heat
stir in raisins and almonds,stir,"almonds, raisins"
drop by tablespoonfuls onto waxed paper lined sheets,"line, wax","drop, lined sheets, tablespoonfuls, waxed paper"
chill until ready to serve,serve,chill
cook spaghetti as directed on package,"cook, direct","package, spaghetti"
brown meat in large nonstick skillet on medium-high heat,,"brown meat, high heat, large nonstick, nonstick skillet"
"cook until tender , stirring occasionally","cook, stir",tender
add more to taste if necessary,"add, taste",
"toss with romano cheese , margarine and eggs",toss,"eggs, margarine, romano cheese"
season with salt and pepper,,"pepper, salt, season"
place in greased 13x9-inch pan,grease,"greased inch pan, inch, place"
"top with layers of ricotta cheese , meat mixture and mozzarella cheese",,"layers, meat, meat mixture, mozzarella cheese, ricotta, ricotta cheese, top"
bake 20 minute or until heated through,heat,minute
there are four layers to make:,"be, make",layers
"bake according to directions on box using 2 round pans , then cool","accord, cool, use","box, directions, round pans"
"once cooled , use the cake from one pan as one layer","cool, use","cake, layer, pan"
place this round cake at the bottom of a cheesecake pan,place,"bottom, cheesecake, cheesecake pan, round cake"
press it with your fingers and flatten the cake a little,"flatten, press","cake, fingers"
this is the bottom layer out of four layers,,"bottom layer, layers"
melt chocolate and cream cheese together,melt,"cheese, chocolate, cream"
"soften gelatin with cold water for 1 minute , then add boiling water , stir until dissolved and clear","add, dissolve, gelatin, stir","boiling, boiling water, cold water, minute, soften"
let this cool while you start whipping the heavy cream and sugar,"let, start, whip","heavy cream, sugar"
"as cream starts to thicken , add gelatin","add, start, thicken","cream, gelatin"
continue to whip until stiff peaks form,"continue, whip","peaks form, stiff peaks"
add 1 / 4 of the cream to the chocolate mixture and mix thoroughly,"add, mix","chocolate, chocolate mixture, cream"
then fold this into the remaining cream,"fold, remain",remaining cream
"once you have it completed , spread this chocolate mousse onto the cake and refrigerate","complete, have, refrigerate, spread","cake, chocolate, chocolate mousse"
beat egg yolks until pale,beat,"egg, egg yolks, pale"
"add sugar , flour , and gelatin , then beat until mixed","add, beat","flour, sugar"
bring cream and vanilla extract to a boil,"bring, extract","boil, cream, vanilla"
add a small amount of cream to egg mixture while stirring,"add, stir","cream, egg, egg mixture, small amount"
gradually add until all of the cream has been added and then pour entire mixture through a strainer into the pan,"add, pour","cream, entire mixture, pan, strainer"
continue to cook until custard begins to thicken,"begin, continue, cook, thicken",custard
"cool slightly , then pour on top of the chocolate mousse layer and freeze while getting the fourth layer ready","cool, freeze, get, pour","chocolate, chocolate mousse, fourth layer, mousse layer, top"
"bring butter and cream to a boil , pour over chocolate and let sit for 5 minutes","bring, let, pour, sit","boil, butter, chocolate, cream, minutes"
let cool until it starts to thicken,"let, start, thicken",
"remove cake from freezer , remove the cheesecake pan collar , then pour some of the icing and use a spatula to spread it evenly across the top and sides of the cake","pour, remove, spread, use","cake, cheesecake, cheesecake pan, freezer, icing, sides, spatula, top"
"while this is still wet , put chocolate chips onto the side of the cake",put,"cake, chocolate, chocolate chips, side"
optional: melt half a cup of white chocolate chips and swirl into the icing if you want yours to look like the picture,"look, melt, want","chocolate chips, cup, icing, picture, swirl, white chocolate"
be sure to see the picture,see,picture
set out 1 pkg philadelphia cream cheese,set,"philadelphia, philadelphia cream, pkg, pkg cream cheese"
"in a blender or food processor , blend 1 pks oreos until a fine powder is formed throughout","blend, form","blender, fine powder, food, pks, pks oreos, processor"
"if you do it all at once , it's impossible to get a consistent powder","do, get",consistent powder
remove any remaining cookie pieces,"remain, remove","cookie, remaining cookie pieces"
knead 1 pkg philadelphia cream cheese into mix until mixture is consistent throughout,,"mix, mixture, philadelphia, philadelphia cream, pkg, pkg cream cheese"
roll into 2 in balls and place on cookie sheet,roll,"balls, cookie, cookie sheet, place"
melt 1 bar baker's semi-sweet chocolate,melt,"bar, bar baker, semi - sweet chocolate"
"using two spoons , coat each ball individually","coat, use","ball, spoons"
place on cookie sheet and refrigerate 30 minute,refrigerate,"cookie, cookie sheet, minute, place"
"first , mix cocoa and sugar together and pour the melted butter inches mix well","mix, pour","cocoa, inches, melted butter, sugar"
"add the eggs and vanilla , again mix thoroughly","add, mix","eggs, vanilla"
i add the salt now to avoid the trouble of sifting,"add, avoid, sift","salt, trouble"
stir in the flour until just combined,"combine, stir",flour
bake in a greased 8 or 9 inch pan until the brownies pull away from the sides,pull,"bake, brownies, greased inch pan, inch, sides"
"depending on how ""high"" your batter was , it can take anywhere from 20 min to 45","depend, take","batter, min"
"the insides should still be a bit moist , which makes the brownies taste ""fudgy""","make, taste","bit, bit moist, brownies, fudgy, insides"
"when i make a double batch , i use the same size pan and cook lower and slower so i get higher , thicker brownies","cook, get, make, use","double batch, same size pan, size, thicker brownies"
"wait until they cool completely before icing , or cutting","cool, cut, ice, wait",
slice into a bell pepper crosswise and see if you can find a hidden mickey,"find, hide, see","bell, bell pepper crosswise, hidden mickey, pepper, slice"
mommy did ! mommy was very surprised !,do,mommy
eat with your favorite veggie dip as suggested,"eat, suggest","favorite veggie dip, veggie"
^^see photo above as an example of a hidden mickey,hide,"^^see photo, example, hidden mickey"
you'll have better luck finding a hidden mickey,"find, have, hide","better luck, hidden mickey"
"sauce pan combine chicken broth shallot , salt , pepper & chicken and simmer till chicken is cooked through","combine, cook","broth shallot, chicken, pepper, salt, simmer"
"when done , remove chicken with tongs and reserve the broth","do, remove, reserve","broth, chicken, tongs"
chop or dice chicken and set aside,"chop, set","dice, dice chicken"
saute garlic with olive oil over med high heat till fragrant 2-3 minutes,,"fragrant minutes, med high heat, olive oil, saute garlic"
add mushrooms and continue to saute till soft 5-6 min,"add, continue, saute","mushrooms, soft min"
remove from heat and set aside,"remove, set",heat
in large pot melt butter over med high heat,,"large pot melt, med high heat, melt butter, pot"
add chicken and mushrooms and mix well,"add, mix","chicken, mushrooms"
"let flavors blend for 2-3 minute add flour and coat chicken and mushroom pieces ~ the mix should look a little dry , that's perfect","add, blend, let, look","chicken, coat, flavors, flour, minute, mix, mushroom, pieces"
mix well and bring to a boil,"bring, mix",boil
simmer until nice and thick,,
"once you get to a nice , well blended thickness turn down heat and add the cheese","add, blend, get, turn","cheese, heat, nice blended thickness"
when well mixed spoon into warm crepes,,"mixed spoon, warm crepes"
"on low or medium-low heat , warm the milk , honey and pumpkin pie spice or english mixed spice on the stove for a few minutes , stirring to melt the honey completely","melt, pumpkin, stir, warm","english mixed spice, few minutes, honey, low heat, milk, pie, pie spice, stove"
"{{warning ! }}: if preparing for children , don't heat the milk too hot or it will burn their mouths !","burn, heat, prepare","children, milk, mouths, warning"
remove pan from heat and stir in the vanilla extract,"remove, stir","heat, pan, vanilla, vanilla extract"
carefully transfer the liquid to a blender and blend on high speed for at least a full minute or until the milk is light and frothy,"blend, transfer","blender, full minute, high speed, liquid, milk"
"you could also use a stick / immersion blender to froth the milk , if you prefer however yet another {{warning}}: make sure your pot is deep enough or the hot milk will splatter","froth, make, prefer, splatter, use","hot milk, immersion, immersion blender, milk, pot, stick, warning"
pour into two fancy tea cups and garnish each with a small cinnamon stick and a light sprinkle of nutmeg,"garnish, pour","fancy tea cups, light sprinkle, nutmeg, small cinnamon stick, tea"
~tasty~ likes to use her whole cinnamon stick as a straw !,"like, use","straw, whole cinnamon stick"
put the peanuts and pretzels together in a bowl one by one,put,"bowl, peanuts, pretzels"
"sing along with me: they're extraordinary ! so better bewary ! because they come in every shape and size , size , size , size","come, sing","better bewary, shape, size"
if honey's what you covet you'll find that they love it,"covet, find, love",honey
because they'll guzzle up the thing you prize !,"guzzle, prize",thing
adjust accordingly to your preference,adjust,preference
"in a small bowl combine the english mixed spice , vanilla powder and sugar of choice",combine,"choice, english mixed spice, small bowl, sugar, vanilla, vanilla powder"
store in a container with a tight fitting lid,,"container, store, tight fitting lid"
to make the deluxe cinnamon toast: spread butter on a slice of bread,"make, spread","bread, slice, spread butter"
it will melt into the bread as it toasts,"melt, toast",bread
sprinkle about a scant one half teaspoon of the spice mixture on the bread,sprinkle,"bread, half, scant teaspoon, spice, spice mixture"
toast until browned and sizzling but being careful not to burn the bread !,"brown, burn","bread, toast"
ps i use a toaster which browns bread horizontally which means the butter doesn't drip down into the heating element,"brown, drip, mean, use","bread, butter, heating, heating element, toaster"
it is not recommended to use a toaster that toasts bread vertically to avoid the butter dripping into the mechanism-,"avoid, recommend, toast, use","bread, dripping butter, mechanism-, toaster"
"of course , how you arrange the produce and what produce you choose , is left to creative license","arrange, choose, leave, produce","course, creative license, produce"
place the baby spinach or mixed greens towards the bottom of a platter,place,"baby, baby spinach, bottom, mixed greens, platter"
"set the green onions on the platter-these are your ""flower stalks""",set,"flower, flower stalks, green onions, platter"
"place the slices of bell pepper in a ""flower"" pattern on the green onion stems","place, stem","bell, bell pepper, flower, green onion, pattern, slices"
"place the strawberry slices between slices of bell pepper ""petals""",place,"bell, pepper, petals, slices, strawberry, strawberry slices"
arrange each black olive half in the middle of the flower and garnish each olive with a chive blossom,"arrange, garnish","black olive, chive blossom, flower, middle, olive, olive half"
put the green peas on top of the spinach or mixed greens,put,"green peas, mixed greens, spinach, top"
place mint leaves around the edges of the platter,leave,"edges, platter"
serve salad with the vinaigrette,serve,"salad, vinaigrette"
"'be like the flower , turn your face to the sun'",turn,"face, flower, sun"
"in a small bowl , grate cheese and set aside",set,"grate, grate cheese, small bowl"
heat a non-stick pan over medium-high heat until it becomes very warm to the touch,"become, heat","high heat, non - stick pan, touch"
"sprinkle the shredded cheese of choice onto the surface of the pan , spreading out the cheese to the approximate diameter of the tortilla","shred, spread, sprinkle","approximate diameter, cheese, choice, pan, shredded cheese, surface, tortilla"
"when the cheese starts to melt , lay the tortilla on top of the cheese and press it down into the melting cheese","lay, melt, press, start","cheese, melting cheese, top, tortilla"
"let the tortilla sit , undisturbed , in the pan for approximately 30 seconds","let, sit","pan, seconds, tortilla"
gently test around the edges by sliding a wide spatula under the tortilla,"slide, test","edges, tortilla, wide spatula"
lift tortilla slightly to check if the cheese has turned golden and is sticking to the tortilla,"check, lift, stick, turn","cheese, tortilla"
"once the cheese has stuck , slide the spatula completely under the tortilla and flip it over to brown the other side","brown, flip, slide, stick","cheese, other side, spatula, tortilla"
slide tortilla onto a platter,,"platter, slide, slide tortilla"
"if desired , top with your favorite quesadilla fillings like guacamole , shredded lettuce , salsa , black olives , sour cream , etc","desire, shred","black olives, favorite quesadilla fillings, guacamole, quesadilla, shredded lettuce, sour cream"
divide pineapple juice among the 8 champagne glasses top with champagne glasses,divide,"champagne, champagne glasses, champagne top glasses, pineapple, pineapple juice"
spoon 1 tablespoon grenadine syrup into each glass,spoon,"glass, grenadine, tablespoon, tablespoon grenadine syrup"
garnish with a pineapple cube,,"pineapple, pineapple cube"
"in a bowl , combine ingredients except for olive oil",combine,"bowl, ingredients, olive oil"
makes about 2 / 3,make,
cook pasta according to package directions,"accord, cook","package, package directions, pasta"
drain and return to the pan,"drain, return",pan
stir in alfredo sauce and sour cream,stir,"alfredo sauce, sour cream"
spoon half into a lightly greased 3-qt,"grease, spoon",qt
"combine the eggs , ricotta cheese , 1 / 4 cup parmesan cheese , romano cheese and parsley",combine,"cup, cup parmesan cheese, eggs, parmesan, parsley, ricotta, ricotta cheese, romano cheese"
top with remaining pasta mixture,remain,"pasta, remaining pasta mixture, top"
sprinkle with mozzarella and remaining parmesan,"remain, sprinkle","mozzarella, remaining parmesan"
cover and bake at 350 for 25 minutes,"bake, cover",minutes
bake 5-10 minutes longer or until bubbly,,"bubbly, minutes"
serve with tossed salad and buttered italian bread,"butter, serve, toss","italian bread, tossed salad"
scrub baking or sweet potatoes thoroughly with a brush,bake,"brush, scrub, sweet potatoes"
"for soft skins rub the skins with butter , shortening , margarine or oil --or--",rub,"--or--, butter, margarine, oil, shortening, skins, soft skins"
prick potatoes with a fork,,"fork, potatoes"
wrap each potato in aluminum,wrap,"aluminum, potato"
bake in 425 degree oven for 40-60 minutes or in a 350 degree oven for,oven,"degree, minutes"
"when done , roll each potato gently under your hand","do, roll","hand, potato"
then cut a crisscross in each top with a knife,cut,"crisscross, knife, top"
press in and up on the ends of each potato,press,"ends, potato"
add toppings of your choice,add,"choice, toppings"
scrub 6-8 ounce baking or sweet potatoes,bake,"ounce, scrub, sweet potatoes"
arrange potatoes on a plate in a spoke fashion,,"arrange, arrange potatoes, plate, spoke fashion"
"microcook , uncovered , on 100% power until tender","microcook, uncover","%, % power, tender"
5-7 minutes for one potato,,"minutes, potato"
7-9 minutes for two potatoes,,"minutes, potatoes"
13-16 minutes for 4 potatoes,,"minutes, potatoes"
rearranging and turning potatoes over once,"rearrange, turn",potatoes
"when done , roll each potato gently under your hand","do, roll","hand, potato"
then cut a crisscross in each top with a knife,cut,"crisscross, knife, top"
press in and up on the ends of each potato,press,"ends, potato"
add toppings of your choice,add,"choice, toppings"
scrub baking or sweet potatoes,bake,"scrub, sweet potatoes"
"for soft skins rub the skins with butter , shortening , margarine or oil",rub,"butter, margarine, oil, shortening, skins, soft skins"
prick potatoes with a fork,,"fork, potatoes"
wrap each potato in a 7 inch square of heavy foil,wrap,"heavy foil, inch, inch square, potato"
grill potatoes on an uncovered grill directly over medium slow coals for 1 to 2 hours or until tender,,"grill potatoes, hours, medium slow coals, tender, uncovered grill"
"when done , roll each potato gently under your hand","do, roll","hand, potato"
then cut a crisscross in each top with a knife,cut,"crisscross, knife, top"
press in and up on the ends of each potato,press,"ends, potato"
add your choice of toppings,add,"choice, toppings"
"preheat oven to 350f , and grease and flour a 9""x11"" cake pan","flour, preheat","cake, grease"
with an electric mixer beat the cream cheese and half of the sugar together in a large bowl,beat,"cream, cream cheese, electric mixer, half, large bowl, sugar"
mix in the egg whites and lemon peel,mix,"egg, egg whites, lemon, lemon peel"
then in a separate bowl add 1 cup of the flour and baking soda and mix well,"add, bake, mix","cup, flour, separate bowl, soda"
"add this to the cream cheese mixture alternately with sour cream , making sure to mix well after each addition","add, make, mix","addition, cheese, cream, cream cheese mixture, sour cream"
pour the cream cheese mixture into the cake pan,pour,"cake, cake pan, cheese, cream, cream cheese mixture"
then toss 2 cups of the berries with left over 1 / 4 cup sugar and 2 teaspoons of flour on top of the batter,"leave, toss","batter, berries, cup, cup sugar, cups, flour, teaspoons, top"
"now bake it for 40-45 minutes , or until a wooden skewer comes out clean","bake, come","minutes, wooden skewer"
garnish with the remaining cup of berries and dust with icing sugar before serving,"ice, remain, serve","berries, dust, remaining cup, sugar"
you can serve it cold or slightly warm,serve,
its a very nice light spring dessert,,"nice light spring dessert, spring"
cook macaroni about 3 minute less than the package directions,cook,"minute, package, package directions"
while the macaroni is cooking:,cook,
"grate about 2 ounce each of colby , monterey jack and half of the cheddar",grate,"cheddar, half, ounce"
cut rest of the blocks into medium cubes,cut,"blocks, medium cubes, rest"
set aside 1 / 2 cup of grated cheese to mix with bread crumbs,"mix, set","bread, bread crumbs, cup, grated cheese"
"put butter , milk , grated cheese , celery salt , onion powder , salt , pepper , vegetable seasoning , cheese sauce in can and sliced velveeta in a large saucepan","put, slice","butter, celery, celery salt, cheese, cheese sauce, grated cheese, large saucepan, milk, onion, onion powder, pepper, salt, vegetable, vegetable seasoning, velveeta"
heat on low heat until cheeses are creamy,,"cheeses, heat, low heat"
put hot macaroni in large bowl,put,large bowl
"add sauce , mix well","add, mix",sauce
add beaten eggs and mix well,"add, beat, mix",beaten eggs
the cheese cubes will not melt completely,melt,"cheese, cheese cubes"
add more milk if needed,"add, need",more milk
pour into large baking dish,pour,"baking, large baking dish"
mix remaining grated cheese and 1 / 3 cup bread crumbs together,"mix, remain","bread, cup, cup bread crumbs, remaining grated cheese"
sprinkle on top of mac and cheese,sprinkle,"cheese, top"
drizzle 2 tablespoons melted butter on top of grated cheese and bread crumbs,melt,"bread, bread crumbs, butter, drizzle, grated cheese, tablespoons, top"
bake at 350 for 35 to 45 minutes,,minutes
put under broiler to lightly brown the bread crumbs on top,"brown, put","bread, bread crumbs, broiler, top"
let set 15 minutes before serving,"serve, set",minutes
"if you like it cheezy , this is for you","cheezy, like",
"chop pepper into very small pieces , set aside",set,"chop pepper, very small pieces"
turn stove on medium heat,"stove, turn",medium heat
"put cheese , milk , and chopped jalapeo in a pan and be sure to watch it until the cheese melts","chop, put, watch","cheese, cheese melts, jalapeo, milk, pan"
"when you're sure the cheese has melted , turn stove completely off","melt, stove, turn",cheese
place cheese concoction in a large bowl,,"cheese, large bowl, place cheese concoction"
add rest of ingredients to bowl,"add, bowl","ingredients, rest"
"if your cheese seems to have thickened , heat it on stove for maybe 3 minutes on low stirring occasionally","heat, seem, thicken","cheese, low stirring, minutes, stove"
serve immediately so the cheese won't thicken on your party goers,"serve, thicken","cheese, party, party goers"
mash the banana then add the plain yogurt and stir until very creamy,"add, mash, stir","banana, plain yogurt"
stir in the nutmeg and vanilla extract,stir,"extract, nutmeg, vanilla"
place all ingredients in slow cooker - mix well,place,"cooker, ingredients"
cook on low for 4-6 hours,cook,hours
beat eggs in a medium bowl,beat,"eggs, medium bowl"
grease a mini muffin tin,grease,"mini muffin tin, muffin"
fill cups with egg mixture until almost to the rim,,"egg, egg mixture, fill cups, rim"
bake at 375 degrees for 10-15 minutes or until centers are set,set,"centers, degrees, minutes"
stir all ingredients until dissolved,"dissolve, stir",ingredients
pour the mixture onto a large dinner plate and refrigerate,"pour, refrigerate","dinner, large dinner plate, mixture"
it will set in about 20 minutes,set,minutes
"you can either slice it into worms , or roll up the rubbery disk of gelatin and cut it every 1 / 4 inch with a large pair of scissors","cut, roll, slice","inch, large pair, rubbery disk, scissors, worms"
you can also use tiny cutters to make little shapes,"make, use","little shapes, tiny cutters"
1) peel your bananas first,peel,bananas
2) cut them into small pieces,cut,small pieces
3) freeze for just 1-2 hours on a plate,freeze,"hours, plate"
"4) blend , blend , blend - scraping down the bowl when they stick","scrape, stick","blend, bowl"
5) enjoy the magic moment when they turn into ice cream !,"enjoy, turn","ice, ice cream, magic moment"
place all ingredients in the crockpot and cook on high for 5 hours or on low for 8-10 hours,"cook, place","crockpot, hours, ingredients"
put first 12 ingredients in a large pot,put,"ingredients, large pot"
cover and bring to a boil over high heat,"bring, cover","boil, high heat"
reduce heat to a simmer and simmer partly covered for 10 minutes or until vegetables are tender,"cover, reduce","heat, minutes, simmer, vegetables"
leave veggies whole or i use an immersion blender and puree a bit -- leaving some veggie chunks,"chunk, leave, puree, use","bit, immersion, immersion blender, veggie, veggies"
"stir in parsley and season with salt , pepper and lemon juice",stir,"lemon, lemon juice, parsley, pepper, salt, season"
using a small sharp knife cut peel and white pith from the lime,use,"cut peel, knife, lime, small sharp knife cut"
"then cut the lime into 1 / 4-inch pieces , place the chopped lime in a medium glass bowl","chop, cut, place","chopped lime, glass bowl, inch, inch pieces, lime, medium glass"
